,Setor,Nº empresas,Nº TRABALHADORES,Feminino,Masculino
10,PESSOAS SINGULARES COM TRABALHADORES A CARGO ,5500,10428,6938,3490
11,"Agricultura, produção animal, caça, floresta e pesca",885,7185,2779,4406
12,Indústrias extractivas,64,1026,158,868
13,Indústrias transformadoras,11587,309702,143124,166578
14,"Electricidade, gás, vapor, água quente e fria e ar frio",35,644,93,551
15,"Captação, tratamento e distribuição de água; saneamento, gestão de resíduos e despoluição",252,4037,1554,2483
16,Construção,3996,54533,7840,46693
17,Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,25527,246595,120799,125796
18,Transportes e armazenagem,6686,68519,17224,51295
19,"Alojamento, restauração e similares",25731,235835,130653,105182
20,Actividades de informação e de comunicação ,1456,24561,9446,15115
21,Actividades financeiras e de seguros,385,5272,2887,2385
22,Actividades imobiliárias,2544,17009,9480,7529
23,"Actividades de consultoria, científicas, técnicas e similares",5424,51108,25088,26020
24,Actividades administrativas e dos serviços de apoio,3756,150268,83876,66392
25,Administração pública e defesa; segurança social obrigatória,47,1316,427,889
26,Educação,2770,35151,27064,8087
27,Actividades de saúde humana e apoio social,7987,96211,83690,12521
28,"Actividades artísticas, de espectáculos, desportivas e recreativas",4601,25591,11900,13691
29,Outras actividades de serviços,5664,34338,25705,8633
30,Actividades das famílias empregadoras de pessoal doméstico e actividades de produção das  famílias para uso próprio + Actividades dos organismos internacionais e outras instituições extra-territoriais,4,20,11,9
