Region,N° Empresas,Percentual(%)
Aveiro,7571,6.5750165005037
Beja,1021,0.886684961961997
Braga,10982,9.537291138361066
Bragança,1257,1.0916385868621252
Castelo Branco,1507,1.3087504776461598
Coimbra,3900,3.386945496230938
Évora,1356,1.177614895612603
Faro,7190,6.244137978948832
Guarda,1388,1.2054052176329593
Leiria,5315,4.615798798068573
Lisboa,27751,24.10028832459096
Portalegre,753,0.6539410150415118
Porto,21837,18.964289436203845
Santarém,3609,3.1342272553583213
Setúbal,6512,5.655330531142528
Viana do Castelo,2606,2.263174349532776
Vila Real,1995,1.732552888456595
Viseu,3159,2.74342585194706
R.A.Açores,2101,1.8246083301490257
R.A.Madeira,3293,2.859797825407302
DESCONHECIDO/A,45,0.0390801403411262
Alto Minho,2606,2.263174349532776
Cávado,5428,4.713933372702956
Ave,5500,4.776461597248758
Área Metropolitana do Porto,21493,18.66554347448501
Alto Tâmega,873,0.7581547226178483
Tâmega e Sousa,4306,3.73953520686421
Douro,1754,1.523257025740786
Terras de Trás-os-Montes,1132,0.9830826414701079
Oeste,3485,3.0265397575294406
Região de Aveiro,3743,3.250599228818564
Região de Coimbra,4120,3.578003960120888
Região de Leiria,3325,2.887588147427658
Viseu Dão Lafões,2461,2.1372494528780352
Beira Baixa,684,0.5940181331851183
Médio Tejo,2165,1.8801889741897386
Beiras e Serra da Estrela,1961,1.7030256713099663
Área Metropolitana de Lisboa,32039,27.82419147531872
Alentejo Litoral,847,0.7355750859763087
Baixo Alentejo,765,0.6643623857991454
Lezíria do Tejo,1723,1.4963351512835656
Alto Alentejo,753,0.6539410150415118
Alentejo Central,1356,1.177614895612603
Algarve,7190,6.244137978948832
R. A. dos Açores,2101,1.8246083301490257
R. A. da Madeira ,3293,2.859797825407302
Ignorado,45,0.0390801403411262
