Distritos,PRO_MOE,PRO_TI,MOE,TI
TOTAL,21708,310879,25412,200290
AVEIRO,1014,21813,1347,13912
BEJA,91,3645,145,2510
BRAGA,1547,27577,1927,16175
BRAGANÇA,107,4275,142,2824
CASTELO BRANCO,241,4247,293,2960
COIMBRA,619,10533,832,7297
ÉVORA,180,4020,252,2650
FARO,1167,22090,1290,13914
GUARDA,143,3971,222,2712
LEIRIA,614,13057,877,8958
LISBOA,7577,66088,8077,44931
PORTALEGRE,85,2486,125,1725
PORTO,4077,55698,4839,33257
SANTARÉM,488,10044,632,6875
SETÚBAL,1723,24851,1967,16374
VIANA DO CASTELO,285,8861,397,5465
VILA REAL,227,5937,288,3947
VISEU,407,8726,516,5813
REGIÃO AUTÓNOMA DOS AÇORES,208,5082,299,3580
REGIÃO AUTÓNOMA DA MADEIRA,853,7732,872,4309
DESCONHECIDO/A,55,146,73,102
