Type,COVI_RED_TI,COVI_RED_TI,COVI_RED_TI,COVI_RED_TI,COVI_PRO_RED_TI,COVI_PRO_RED_TI,COVI_PRO_RED_TI,COVI_RED_MOE,COVI_RED_MOE,COVI_RED_MOE,COVI_PRO_RED_MOE,COVI_PRO_RED_MOE
Month,Refª a Março,Refª a Abril,Refª a Maio,Refª a Junho,Refª a Abril,Refª a Maio,Refª a Junho,Refª a Abril,Refª a Maio,Refª a Junho,Refª a Maio,Refª a Junho
Distritos,,,,,,,,,,,,
TOTAL,160163,28011,8565,2260,112565,110697,67423,13312,10491,1305,9805,9912
AVEIRO,11090,2041,545,148,8196,7721,4434,639,621,59,451,473
BEJA,2020,349,105,26,1522,1364,630,75,49,14,52,35
BRAGA,12796,2363,741,197,10112,9913,6206,917,886,107,684,752
BRAGANÇA,2340,359,94,24,1781,1558,736,74,57,10,50,46
CASTELO BRANCO,2379,437,103,27,1714,1539,821,160,126,4,121,106
COIMBRA,5900,1054,246,67,4100,3778,2052,461,330,34,316,262
ÉVORA,2204,324,97,22,1603,1498,717,128,118,7,84,85
FARO,10928,2113,608,180,7692,7993,5043,691,514,81,535,533
GUARDA,2204,348,132,22,1625,1484,724,102,107,11,67,70
LEIRIA,7127,1321,357,94,5099,4672,2585,444,384,37,295,284
LISBOA,35677,6181,2038,586,21824,23147,15267,4448,3100,421,3338,3389
PORTALEGRE,1435,206,61,17,1035,890,466,80,43,2,51,35
PORTO,26596,4564,1536,357,19986,19769,12455,2443,2092,253,1834,1918
SANTARÉM,5547,976,258,72,3862,3624,2027,324,269,34,245,198
SETÚBAL,13142,2237,668,184,8740,8688,5461,1146,684,95,826,731
VIANA DO CASTELO,4325,789,263,76,3375,3200,2031,196,182,18,140,139
VILA REAL,3186,522,196,32,2389,2114,1171,151,119,13,107,106
VISEU,4676,828,245,50,3469,3150,1721,288,207,19,207,168
REGIÃO AUTÓNOMA DOS AÇORES,2894,498,143,36,1815,1886,1062,115,167,15,75,113
REGIÃO AUTÓNOMA DA MADEIRA,3618,484,126,39,2576,2652,1782,394,405,62,305,443
DESCONHECIDO/A,79,17,3,4,50,57,32,36,31,9,22,26
