DATA,POR DIA,ACUMULADOS
2020-03-01,7,7
2020-03-02,80,87
2020-03-03,103,190
2020-03-04,112,302
2020-03-05,94,396
2020-03-06,96,492
2020-03-07,35,527
2020-03-08,28,555
2020-03-09,165,720
2020-03-10,164,884
2020-03-11,248,1132
2020-03-12,250,1382
2020-03-13,335,1717
2020-03-14,131,1848
2020-03-15,57,1905
2020-03-16,358,2263
2020-03-17,429,2692
2020-03-18,3465,6157
2020-03-19,992,7149
2020-03-20,1821,8970
2020-03-21,586,9556
2020-03-22,1907,11463
2020-03-23,3322,14785
2020-03-24,1939,16724
2020-03-25,1769,18493
2020-03-26,2568,21061
2020-03-27,1614,22675
2020-03-28,586,23261
2020-03-29,213,23474
2020-03-30,2389,25863
2020-03-31,2423,28286
2020-04-01,1878,30164
2020-04-02,1245,31409
2020-04-03,4090,35499
2020-04-04,1636,37135
2020-04-05,252,37387
2020-04-06,2047,39434
2020-04-07,2150,41584
2020-04-08,1925,43509
2020-04-09,1407,44916
2020-04-10,590,45506
2020-04-11,202,45708
2020-04-12,94,45802
2020-04-13,1098,46900
2020-04-14,2029,48929
2020-04-15,2219,51148
2020-04-16,1321,52469
2020-04-17,1297,53766
2020-04-18,347,54113
2020-04-19,89,54202
2020-04-20,1677,55879
2020-04-21,1521,57400
2020-04-22,1570,58970
2020-04-23,829,59799
2020-04-24,1271,61070
2020-04-25,433,61503
2020-04-26,168,61671
2020-04-27,1115,62786
2020-04-28,1585,64371
2020-04-29,1215,65586
2020-04-30,1571,67157
2020-05-01,240,67397
2020-05-02,252,67649
2020-05-03,115,67764
2020-05-04,1156,68920
2020-05-05,1158,70078
2020-05-06,1168,71246
2020-05-07,791,72037
2020-05-08,1136,73173
2020-05-09,123,73296
2020-05-10,175,73471
2020-05-11,1129,74600
2020-05-12,1279,75879
2020-05-13,667,76546
2020-05-14,536,77082
2020-05-15,682,77764
2020-05-16,62,77826
2020-05-17,27,77853
2020-05-18,464,78317
2020-05-19,429,78746
2020-05-20,457,79203
2020-05-21,396,79599
2020-05-22,935,80534
2020-05-23,30,80564
2020-05-24,11,80575
2020-05-25,1700,82275
2020-05-26,3549,85824
2020-05-27,493,86317
2020-05-28,921,87238
2020-05-29,16547,103785
2020-05-30,19,103804
2020-05-31,25,103829
2020-06-01,16507,120336
2020-06-02,503,120839
2020-06-03,632,121471
2020-06-04,415,121886
2020-06-05,439,122325
2020-06-06,7,122332
2020-06-07,61,122393
2020-06-08,175,122568
