DATA,TI_ParagemTotal,TI_Reducao,TI_Total,PRO_TI_ParagemTotal,PRO_TI_Reducao,PRO_TI_Total,MOE_ParagemTotal,MOE_Reducao,MOE_Total,PRO_MOE_ParagemTotal,PRO_MOE_Reducao,PRO_MOE_Total
2020-04-01,64088,,64088,,,,,,,,,
2020-04-02,22496,,22496,,,,,,,,,
2020-04-03,12398,,12398,,,,,,,,,
2020-04-04,3558,,3558,,,,,,,,,
2020-04-05,2459,,2459,,,,,,,,,
2020-04-06,11731,,11731,,,,,,,,,
2020-04-07,8516,,8516,,,,,,,,,
2020-04-08,6161,,6161,,,,,,,,,
2020-04-09,6018,,6018,,,,,,,,,
2020-04-10,1937,,1937,,,,,,,,,
2020-04-11,1053,,1053,,,,,,,,,
2020-04-12,645,,645,,,,,,,,,
2020-04-13,4216,,4216,,,,,,,,,
2020-04-14,7388,,7388,,,,,,,,,
2020-04-15,7497,,7497,,,,,,,,,
2020-04-16,2,,2,,,,,,,,,
2020-04-20,3977,929,4906,6215,,6215,825,329,1154,,,
2020-04-21,2484,676,3160,8804,,8804,1206,498,1704,,,
2020-04-22,2204,556,2760,11417,,11417,986,504,1490,,,
2020-04-23,1700,521,2221,13188,,13188,916,457,1373,,,
2020-04-24,1247,392,1639,9406,,9406,647,349,996,,,
2020-04-25,306,115,421,2399,,2399,104,59,163,,,
2020-04-26,286,90,376,1942,,1942,77,34,111,,,
2020-04-27,1400,553,1953,11268,,11268,824,464,1288,,,
2020-04-28,1694,639,2333,13926,,13926,788,511,1299,,,
2020-04-29,1770,795,2565,12638,,12638,845,542,1387,,,
2020-04-30,2243,1268,3511,11642,,11642,807,682,1489,,,
2020-05-01,346,125,471,2333,,2333,59,42,101,,,
2020-05-02,155,68,223,1125,,1125,24,34,58,,,
2020-05-03,106,69,175,682,,682,30,18,48,,,
2020-05-04,847,450,1297,5580,,5580,390,261,651,,,
2020-05-30,337,205,542,12082,2800,14882,151,196,347,474,290,764
2020-05-31,431,253,684,7294,2018,9312,202,176,378,327,220,547
2020-06-01,1009,657,1666,17851,5531,23382,1136,1121,2257,1678,1085,2763
2020-06-02,543,422,965,9341,3422,12763,574,746,1320,723,559,1282
2020-06-03,399,304,703,5967,2510,8477,437,520,957,489,390,879
2020-06-04,368,234,602,6581,2175,8756,432,511,943,474,287,761
2020-06-05,412,357,769,5325,2398,7723,429,500,929,361,286,647
2020-06-06,87,71,158,1264,505,1769,58,81,139,65,42,107
2020-06-07,87,48,135,1275,468,1743,43,67,110,64,54,118
2020-06-08,536,362,898,7192,3035,10227,591,669,1260,504,388,892
2020-06-09,17,12,29,331,78,409,18,20,38,23,18,41
