Distrito,TI,PRORROGAÇÃO_TI,MOE,PRORROGAÇÃO_MOE
AVEIRO,13591,15075,1130,381
BEJA,2451,2696,114,44
BRAGA,15768,18880,1611,596
BRAGANÇA,2775,3117,123,39
CASTELO BRANCO,2896,3079,265,107
COIMBRA,7149,7431,707,272
ÉVORA,2604,2974,227,73
FARO,13534,14843,1115,480
GUARDA,2654,2906,185,62
LEIRIA,8741,9227,742,245
LISBOA,43622,43302,7111,3112
PORTALEGRE,1683,1785,113,44
PORTO,32442,37791,4160,1611
SANTARÉM,6735,6976,544,207
SETÚBAL,15944,16744,1744,774
VIANA DO CASTELO,5333,6109,329,120
VILA REAL,3875,4200,245,85
VISEU,5700,6199,458,181
REGIÃO AUTÓNOMA DOS AÇORES,3523,3570,265,65
REGIÃO AUTÓNOMA DA MADEIRA,4208,5006,741,282
DESCONHECIDO/A,97,98,61,21
