Distritos,,2020-04-16,2020-04-17,2020-04-20,2020-04-22,2020-04-23,2020-04-24,2020-04-27,2020-04-29,2020-04-30,2020-05-04,2020-05-05,2020-05-08,2020-05-11,2020-06-03,2020-06-09,2020-06-16,2020-06-29,2020-07-13
AVEIRO,MOE,,,,,,,,,,597.0,638.0,638.0,638.0,785,1130,1260,1264.0,1319
AVEIRO,PRO_MOE,,,,,,,,,,,,,,144,381,451,507.0,924
AVEIRO,PRO_TI,,,,,,,,,,7826.0,8194.0,8194.0,8194.0,11315,15075,15917,16908.0,20351
AVEIRO,TI,10008.0,11089.0,11092.0,11609.0,11790.0,11943.0,12128.0,12478.0,12680.0,13021.0,13128.0,13128.0,13128.0,13313,13591,13676,13709.0,13824
BEJA,MOE,,,,,,,,,,70.0,75.0,75.0,75.0,92,114,124,124.0,138
BEJA,PRO_MOE,,,,,,,,,,,,,,17,44,52,58.0,87
BEJA,PRO_TI,,,,,,,,,,1439.0,1522.0,1522.0,1522.0,1971,2696,2886,2987.0,3516
BEJA,TI,1824.0,2022.0,2023.0,2077.0,2124.0,2169.0,2196.0,2241.0,2278.0,2358.0,2368.0,2368.0,2368.0,2394,2451,2474,2475.0,2500
BRAGA,MOE,,,,,,,,,,883.0,918.0,918.0,918.0,1174,1611,1803,1808.0,1910
BRAGA,PRO_MOE,,,,,,,,,,,,,,234,596,684,745.0,1436
BRAGA,PRO_TI,,,,,,,,,,9726.0,10109.0,10109.0,10109.0,13939,18880,20025,20892.0,26231
BRAGA,TI,11487.0,12791.0,12793.0,13439.0,13659.0,13853.0,14056.0,14422.0,14654.0,15031.0,15157.0,15157.0,15157.0,15401,15768,15900,15929.0,16097
BRAGANÇA,MOE,,,,,,,,,,70.0,75.0,75.0,75.0,86,123,131,134.0,141
BRAGANÇA,PRO_MOE,,,,,,,,,,,,,,16,39,50,52.0,96
BRAGANÇA,PRO_TI,,,,,,,,,,1734.0,1777.0,1777.0,1777.0,2321,3117,3339,3525.0,4075
BRAGANÇA,TI,2048.0,2336.0,2336.0,2439.0,2473.0,2511.0,2530.0,2589.0,2625.0,2682.0,2694.0,2694.0,2694.0,2731,2775,2793,2798.0,2817
CASTELO BRANCO,MOE,,,,,,,,,,154.0,160.0,160.0,160.0,186,265,286,287.0,290
CASTELO BRANCO,PRO_MOE,,,,,,,,,,,,,,49,107,121,134.0,227
CASTELO BRANCO,PRO_TI,,,,,,,,,,1603.0,1712.0,1712.0,1712.0,2328,3079,3253,3393.0,4074
CASTELO BRANCO,TI,2140.0,2378.0,2379.0,2476.0,2524.0,2548.0,2597.0,2665.0,2701.0,2793.0,2813.0,2813.0,2813.0,2845,2896,2919,2920.0,2946
COIMBRA,MOE,,,,,,,,,,428.0,461.0,461.0,461.0,550,707,791,798.0,825
COIMBRA,PRO_MOE,,,,,,,,,,,,,,134,272,316,362.0,578
COIMBRA,PRO_TI,,,,,,,,,,3884.0,4100.0,4100.0,4100.0,5687,7431,7878,8410.0,9930
COIMBRA,TI,5351.0,5896.0,5898.0,6217.0,6294.0,6372.0,6459.0,6652.0,6746.0,6910.0,6947.0,6947.0,6947.0,7041,7149,7200,7206.0,7267
DESCONHECIDO/A,MOE,,,,,,,,,,34.0,37.0,37.0,37.0,41,61,67,67.0,76
DESCONHECIDO/A,PRO_MOE,,,,,,,,,,,,,,10,21,22,25.0,48
DESCONHECIDO/A,PRO_TI,,,,,,,,,,50.0,50.0,50.0,50.0,75,98,107,114.0,139
DESCONHECIDO/A,TI,67.0,76.0,76.0,84.0,86.0,87.0,92.0,93.0,95.0,94.0,95.0,95.0,95.0,97,97,99,99.0,103
FARO,MOE,,,,,,,,,,634.0,686.0,686.0,686.0,831,1115,1205,1215.0,1286
FARO,PRO_MOE,,,,,,,,,,,,,,215,480,535,612.0,1068
FARO,PRO_TI,,,,,,,,,,7341.0,7691.0,7691.0,7691.0,11085,14843,15685,16808.0,20728
FARO,TI,9856.0,10932.0,10934.0,11549.0,11717.0,11913.0,12098.0,12433.0,12609.0,12943.0,13039.0,13039.0,13039.0,13222,13534,13649,13687.0,13829
GUARDA,MOE,,,,,,,,,,96.0,102.0,102.0,102.0,131,185,209,209.0,220
GUARDA,PRO_MOE,,,,,,,,,,,,,,28,62,67,68.0,137
GUARDA,PRO_TI,,,,,,,,,,1525.0,1624.0,1624.0,1624.0,2155,2906,3109,3224.0,3833
GUARDA,TI,1947.0,2204.0,2204.0,2307.0,2337.0,2363.0,2388.0,2446.0,2472.0,2536.0,2554.0,2554.0,2554.0,2588,2654,2684,2691.0,2706
LEIRIA,MOE,,,,,,,,,,418.0,444.0,444.0,444.0,534,742,828,830.0,865
LEIRIA,PRO_MOE,,,,,,,,,,,,,,112,245,295,330.0,579
LEIRIA,PRO_TI,,,,,,,,,,4823.0,5095.0,5095.0,5095.0,7183,9227,9771,10319.0,12356
LEIRIA,TI,6480.0,7125.0,7125.0,7505.0,7608.0,7700.0,7795.0,8015.0,8177.0,8379.0,8446.0,8446.0,8446.0,8567,8741,8805,8811.0,8899
LISBOA,MOE,,,,,,,,,,4265.0,4444.0,4444.0,4444.0,5498,7111,7548,7601.0,7969
LISBOA,PRO_MOE,,,,,,,,,,,,,,1625,3112,3338,3990.0,6727
LISBOA,PRO_TI,,,,,,,,,,20472.0,21836.0,21836.0,21836.0,34244,43302,44971,49535.0,60238
LISBOA,TI,32745.0,35692.0,35706.0,37765.0,38424.0,38879.0,39436.0,40236.0,40702.0,41598.0,41880.0,41880.0,41880.0,42713,43622,43896,44020.0,44482
PORTALEGRE,MOE,,,,,,,,,,69.0,80.0,80.0,80.0,91,113,123,124.0,125
PORTALEGRE,PRO_MOE,,,,,,,,,,,,,,23,44,51,60.0,86
PORTALEGRE,PRO_TI,,,,,,,,,,971.0,1035.0,1035.0,1035.0,1377,1785,1925,2000.0,2391
PORTALEGRE,TI,1297.0,1434.0,1435.0,1497.0,1515.0,1527.0,1550.0,1575.0,1602.0,1623.0,1641.0,1641.0,1641.0,1652,1683,1702,1703.0,1719
PORTO,MOE,,,,,,,,,,2327.0,2449.0,2449.0,2449.0,3033,4160,4535,4558.0,4788
PORTO,PRO_MOE,,,,,,,,,,,,,,745,1611,1834,2095.0,3752
PORTO,PRO_TI,,,,,,,,,,19140.0,19986.0,19986.0,19986.0,28572,37791,39755,42577.0,52210
PORTO,TI,24208.0,26599.0,26605.0,27907.0,28352.0,28756.0,29114.0,29865.0,30275.0,30980.0,31157.0,31157.0,31157.0,31683,32442,32696,32749.0,33053
REGIÃO AUTÓNOMA DA MADEIRA,MOE,,,,,,,,,,381.0,394.0,394.0,394.0,499,741,799,803.0,861
REGIÃO AUTÓNOMA DA MADEIRA,PRO_MOE,,,,,,,,,,,,,,121,282,305,339.0,748
REGIÃO AUTÓNOMA DA MADEIRA,PRO_TI,,,,,,,,,,2467.0,2576.0,2576.0,2576.0,3916,5006,5228,5824.0,7010
REGIÃO AUTÓNOMA DA MADEIRA,TI,3295.0,3618.0,3619.0,3771.0,3820.0,3860.0,3903.0,3975.0,4014.0,4080.0,4102.0,4102.0,4102.0,4145,4208,4228,4236.0,4267
REGIÃO AUTÓNOMA DOS AÇORES,MOE,,,,,,,,,,115.0,116.0,116.0,116.0,131,265,282,285.0,297
REGIÃO AUTÓNOMA DOS AÇORES,PRO_MOE,,,,,,,,,,,,,,18,65,75,107.0,188
REGIÃO AUTÓNOMA DOS AÇORES,PRO_TI,,,,,,,,,,1710.0,1815.0,1815.0,1815.0,2490,3570,3701,3984.0,4763
REGIÃO AUTÓNOMA DOS AÇORES,TI,2683.0,2893.0,2893.0,3050.0,3094.0,3141.0,3187.0,3269.0,3304.0,3369.0,3392.0,3392.0,3392.0,3433,3523,3535,3542.0,3571
SANTARÉM,MOE,,,,,,,,,,305.0,325.0,325.0,325.0,401,544,593,600.0,627
SANTARÉM,PRO_MOE,,,,,,,,,,,,,,111,207,245,263.0,443
SANTARÉM,PRO_TI,,,,,,,,,,3668.0,3861.0,3861.0,3861.0,5361,6976,7486,7869.0,9513
SANTARÉM,TI,5104.0,5547.0,5547.0,5816.0,5916.0,5986.0,6064.0,6224.0,6304.0,6474.0,6522.0,6522.0,6522.0,6597,6735,6781,6791.0,6853
SETÚBAL,MOE,,,,,,,,,,1107.0,1148.0,1148.0,1148.0,1369,1744,1830,1838.0,1925
SETÚBAL,PRO_MOE,,,,,,,,,,,,,,370,774,826,966.0,1557
SETÚBAL,PRO_TI,,,,,,,,,,8276.0,8740.0,8740.0,8740.0,12831,16744,17428,18940.0,22889
SETÚBAL,TI,12152.0,13133.0,13134.0,13880.0,14097.0,14292.0,14496.0,14815.0,14971.0,15279.0,15380.0,15380.0,15380.0,15617,15944,16047,16090.0,16231
TOTAL,MOE,,,,,,,,,,12668.0,13312.0,13312.0,13312.0,16380,15075,23803,23939.0,25108
TOTAL,PRO_MOE,,,,,,,,,,,,,,4171,8801,9805,11294.0,19717
TOTAL,PRO_TI,,,,,,,,,,107043.0,112565.0,112565.0,112565.0,161379,212008,223262,239025.0,290685
TOTAL,TI,145274.0,160160.0,160194.0,168348.0,171002.0,173268.0,175658.0,180005.0,182497.0,186884.0,188174.0,188174.0,188174.0,191128,195325,196739,197137.0,198999
VIANA DO CASTELO,MOE,,,,,,,,,,185.0,195.0,195.0,195.0,239,329,378,378.0,396
VIANA DO CASTELO,PRO_MOE,,,,,,,,,,,,,,55,120,140,153.0,279
VIANA DO CASTELO,PRO_TI,,,,,,,,,,3227.0,3375.0,3375.0,3375.0,4392,6109,6575,6923.0,8606
VIANA DO CASTELO,TI,3762.0,4324.0,4324.0,4487.0,4535.0,4614.0,4679.0,4829.0,4925.0,5069.0,5114.0,5114.0,5114.0,5181,5333,5377,5385.0,5453
VILA REAL,MOE,,,,,,,,,,143.0,150.0,150.0,150.0,186,245,270,271.0,283
VILA REAL,PRO_MOE,,,,,,,,,,,,,,38,85,107,116.0,213
VILA REAL,PRO_TI,,,,,,,,,,2288.0,2391.0,2391.0,2391.0,3178,4200,4503,4668.0,5674
VILA REAL,TI,2788.0,3188.0,3188.0,3308.0,3362.0,3407.0,3451.0,3547.0,3607.0,3688.0,3710.0,3710.0,3710.0,3749,3875,3904,3911.0,3936
VISEU,MOE,,,,,,,,,,261.0,287.0,287.0,287.0,353,458,495,498.0,514
VISEU,PRO_MOE,,,,,,,,,,,,,,67,181,207,216.0,375
VISEU,PRO_TI,,,,,,,,,,3320.0,3472.0,3472.0,3472.0,4733,6199,6619,6876.0,8340
VISEU,TI,3994.0,4676.0,4676.0,4861.0,4942.0,4994.0,5052.0,5191.0,5280.0,5463.0,5505.0,5505.0,5505.0,5592,5700,5749,5756.0,5799
ÉVORA,MOE,,,,,,,,,,126.0,128.0,128.0,128.0,170,227,246,247.0,253
ÉVORA,PRO_MOE,,,,,,,,,,,,,,39,73,84,96.0,169
ÉVORA,PRO_TI,,,,,,,,,,1553.0,1604.0,1604.0,1604.0,2226,2974,3101,3249.0,3818
ÉVORA,TI,2038.0,2207.0,2207.0,2304.0,2333.0,2354.0,2387.0,2445.0,2476.0,2514.0,2530.0,2530.0,2530.0,2567,2604,2625,2629.0,2647
