Nº DE BAIXAS POR ISOLAMENTO ,Unnamed: 1,Unnamed: 2,Unnamed: 3
por data de entrada,,,
,,,
Nota: Situação da base de dados 08/07/2020,,,
,,,
,Nº Prestações Requeridas,,
,por dia,Acumulados,
01/mar,8,8,
02/mar,85,93,
03/mar,109,202,
04/mar,113,315,
05/mar,99,414,
06/mar,101,515,
07/mar,35,550,
08/mar,28,578,
09/mar,167,745,
10/mar,166,911,
11/mar,257,1168,
12/mar,257,1425,
13/mar,344,1769,
14/mar,133,1902,
15/mar,59,1961,
16/mar,366,2327,
17/mar,461,2788,
18/mar,3500,6288,
19/mar,996,7284,
20/mar,1836,9120,
21/mar,590,9710,
22/mar,1909,11619,
23/mar,3350,14969,
24/mar,2010,16979,
25/mar,1783,18762,
26/mar,2580,21342,
27/mar,1671,23013,
28/mar,601,23614,
29/mar,219,23833,
30/mar,2404,26237,
31/mar,2457,28694,
01/abr,1926,30620,
02/abr,1266,31886,
03/abr,4455,36341,
04/abr,1646,37987,
05/abr,258,38245,
06/abr,2095,40340,
07/abr,2190,42530,
08/abr,2011,44541,
09/abr,1447,45988,
10/abr,605,46593,
11/abr,209,46802,
12/abr,100,46902,
13/abr,1244,48146,
14/abr,2138,50284,
15/abr,2264,52548,
16/abr,1357,53905,
17/abr,1333,55238,
18/abr,378,55616,
19/abr,94,55710,
20/abr,1709,57419,
21/abr,1565,58984,
22/abr,1664,60648,
23/abr,881,61529,
24/abr,1299,62828,
25/abr,457,63285,
26/abr,186,63471,
27/abr,1134,64605,
28/abr,1616,66221,
29/abr,1246,67467,
30/abr,1634,69101,
01/mai,260,69361,
02/mai,258,69619,
03/mai,129,69748,
04/mai,1237,70985,
05/mai,1187,72172,
06/mai,1251,73423,
07/mai,849,74272,
08/mai,1204,75476,
09/mai,134,75610,
10/mai,216,75826,
11/mai,1182,77008,
12/mai,1370,78378,
13/mai,693,79071,
14/mai,556,79627,
15/mai,704,80331,
16/mai,63,80394,
17/mai,27,80421,
18/mai,492,80913,
19/mai,445,81358,
20/mai,476,81834,
21/mai,420,82254,
22/mai,1009,83263,
23/mai,35,83298,
24/mai,17,83315,
25/mai,1734,85049,
26/mai,3617,88666,
27/mai,538,89204,
28/mai,987,90191,
29/mai,16745,106936,
30/mai,37,106973,
31/mai,43,107016,
01/jun,16687,123703,
02/jun,636,124339,
03/jun,766,125105,
04/jun,507,125612,
05/jun,602,126214,
06/jun,39,126253,
07/jun,84,126337,
08/jun,609,126946,
09/jun,658,127604,
10/jun,93,127697,
11/jun,56,127753,
12/jun,600,128353,
13/jun,68,128421,
14/jun,19,128440,
15/jun,382,128822,
16/jun,602,129424,
17/jun,494,129918,
18/jun,457,130375,
19/jun,386,130761,
20/jun,126,130887,
21/jun,15,130902,
22/jun,506,131408,
23/jun,590,131998,
24/jun,471,132469,
25/jun,509,132978,
26/jun,449,133427,
27/jun,74,133501,
28/jun,8,133509,
29/jun,429,133938,
30/jun,419,134357,
01/jul,689,135046,
02/jul,637,135683,
03/jul,461,136144,
04/jul,21,136165,
05/jul,8,136173,
06/jul,486,136659,
07/jul,222,136881,
,,,
,,,
,,,
Nº DE BAIXAS POR ISOLAMENTO ,,,
prestações entradas por distrito,,,
,,,
TOTAL,,136881,
AVEIRO,,69214,
BEJA,,480,
BRAGA,,7998,
BRAGANÇA,,535,
CASTELO BRANCO,,441,
COIMBRA,,1724,
ÉVORA,,380,
FARO,,1885,
GUARDA,,433,
LEIRIA,,2881,
LISBOA,,11046,
PORTALEGRE,,285,
PORTO,,25711,
SANTARÉM,,2390,
SETÚBAL,,3252,
VIANA DO CASTELO,,1418,
VILA REAL,,429,
VISEU,,1358,
REGIÃO AUTÓNOMA DOS AÇORES,,2487,
REGIÃO AUTÓNOMA DA MADEIRA,,2534,
,,,
,,,
,,,
LANÇAMENTOS DE BAIXAS POR ISOLAMENTO,,,
por mês de lançamento e sexo,,,
,,,
,TOTAL,FEMININO,MASCULINO
202003,119,93,26
202004,28422,13543,14879
202005,28690,15376,13314
202006,25641,12034,13607
202007,9043,5189,3854
TOTAL (distinto),67734,35742,31992
