EEs QUE ENTREGARAM DOCUMENTO - COVID19 - Layoff Simplificado,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,EEs QUE ENTREGARAM DOCUMENTO - COVID19 - Layoff Simplificado.1,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
E COM REMUNERAÇÃO DECLARADA EM 2020-02,,,,,,,por Distrito/Região Autónoma,,,,,,,
por CAE,,,,,,,e Dimensão de EE,,,,,,,
,,,,,,,,,,,,,,
Nota: ,,,,,,,Notas:,,,,,,,
Situação da base de dados 23/06/2020,,,,,,,Situação da base de dados 23/06/2020,,,,,,,
Uma PS pode ter remunerações por várias NISS_EE com CAEs diferentes,,,,,,,,,,,,,,
,,,,Por sexo:,,,,,,,,,,
,,,,Nº TRABALHADORES,,,,,,,,,,
,,Nº NISS_EE,Nº TRABALHADORES,Feminino,Masculino,,,Nº NISS_EE,,até 10 trabalhadores,11 a 25 trabalhadores,26 a 49 trabalhadores,50 a 249 trabalhadores,>= 250 trabalhadores
TOTAL,,113853,1366658,705675,660983,,TOTAL,114369,1.0,93068,13183,4261,3318,539
,PESSOAS SINGULARES COM TRABALHADORES A CARGO ,5464,10361,6901,3460,,AVEIRO,7496,0.06554223609544545,5900,942,340,277,37
A,"Agricultura, produção animal, caça, floresta e pesca",871,7035,2765,4270,,BEJA,1009,0.008822320733765269,869,90,25,24,1
B,Indústrias extractivas,64,1026,158,868,,BRAGA,10932,0.09558534218188496,8597,1341,498,457,39
C,Indústrias transformadoras,11413,302649,140930,161719,,BRAGANÇA,1244,0.010877073332808716,1120,76,38,9,1
D,"Electricidade, gás, vapor, água quente e fria e ar frio",35,644,93,551,,CASTELO BRANCO,1507,0.013176647518121169,1294,130,37,39,7
E,"Captação, tratamento e distribuição de água; saneamento, gestão de resíduos e despoluição",247,4019,1549,2470,,COIMBRA,3896,0.034065175003716044,3269,389,122,101,15
F,Construção,3954,54088,7781,46307,,ÉVORA,1363,0.011917565074451993,1150,141,38,30,4
G,Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,25343,244856,119777,125079,,FARO,7146,0.06248196626708286,5940,815,222,156,13
H,Transportes e armazenagem,6591,68152,17133,51019,,GUARDA,1388,0.012136155776477892,1226,104,32,24,2
I,"Alojamento, restauração e similares",25538,234591,129957,104634,,LEIRIA,5285,0.046210074408274966,4296,638,195,143,13
J,Actividades de informação e de comunicação ,1432,24374,9393,14981,,LISBOA,27505,0.24049349036889367,21981,3416,1065,825,218
K,Actividades financeiras e de seguros,384,5268,2885,2383,,PORTALEGRE,749,0.006548977432695923,653,66,16,13,1
L,Actividades imobiliárias,2520,16931,9431,7500,,PORTO,21698,0.18971924210231794,17272,2681,947,700,98
M,"Actividades de consultoria, científicas, técnicas e similares",5340,50600,24838,25762,,SANTARÉM,3592,0.03140711206708111,3028,373,102,76,13
N,Actividades administrativas e dos serviços de apoio,3713,150065,83785,66280,,SETÚBAL,6452,0.05641388837884392,5456,662,183,125,26
O,Administração pública e defesa; segurança social obrigatória,47,1316,427,889,,VIANA DO CASTELO,2604,0.022768407523017602,2202,245,80,63,14
P,Educação,2748,35070,27003,8067,,VILA REAL,1981,0.017321127228532206,1743,159,43,34,2
Q,Actividades de saúde humana e apoio social,7947,95926,83440,12486,,VISEU,3156,0.027594890223749443,2697,276,95,74,14
R,"Actividades artísticas, de espectáculos, desportivas e recreativas",4574,25507,11860,13647,,R.A.AÇORES,2081,0.0181954900366358,1719,235,71,51,5
S,Outras actividades de serviços,5624,34160,25558,8602,,R.A.MADEIRA,3239,0.028320611354475427,2616,400,112,96,15
T + U,Actividades das famílias empregadoras de pessoal doméstico e actividades de produção das  famílias para uso próprio + Actividades dos organismos internacionais e outras instituições extra-territoriais,4,20,11,9,,DESCONHECIDO/A,46,0.0004022068917276535,40,4,0,1,1
,,,,,,,,,,,,,,
Notas: ,,,,,,,,,,,,,,
"os totais podem ser divergentes, nomeadamente tendo em conta EE com CAE-Rev.2.1;",,,,,,,,,,,,,,
"a informação respeita aos trabalhadores e massa salarial das EE que entregaram documento, não necessariamente ao número total de trabalhadores efetivamente em situação de layoff simplificado.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
