,Setor,2020-04-17,2020-04-20,2020-04-23,2020-04-24,2020-04-27,2020-04-29,2020-04-30,2020-05-04,2020-05-05,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-19,2020-05-21,2020-05-27,2020-06-03,2020-06-09,2020-06-16,2020-06-23,2020-07-01,2020-07-08
15,"Alojamento, restauração e similares",20554,21156,22301,22664,22965,23399,23624,24091,24221,24544,24704,24772,24848,24917,24962,25055,25124,25244,25371,25455,25494,25538,25605,25667
16,Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,17330,18227,19816,20248,20711,21423,21767,22605,22918,23596,23863,23996,24124,24233,24332,24533,24658,24881,25108,25223,25293,25343,25424,25476
20,Indústrias transformadoras,7542,7911,8566,8744,8956,9254,9405,9819,9989,10341,10483,10560,10629,10683,10746,10852,10918,11033,11199,11306,11367,11413,11516,11552
1,Actividades de saúde humana e apoio social,6328,6534,6870,6962,7063,7180,7258,7428,7490,7602,7647,7674,7703,7727,7741,7767,7789,7831,7867,7922,7935,7947,7963,7969
2,Transportes e armazenagem,4137,4357,4734,4859,5001,5203,5322,5612,5680,5903,5986,6041,6084,6121,6153,6231,6288,6362,6458,6519,6560,6591,6633,6662
4,Outras actividades de serviços,4266,4433,4714,4776,4857,4975,5047,5182,5233,5331,5382,5397,5419,5439,5449,5475,5500,5535,5574,5601,5613,5624,5639,5651
5,PESSOAS SINGULARES COM TRABALHADORES A CARGO ,4017,4182,4467,4568,4652,4777,4852,5003,5058,5169,5212,5230,5256,5279,5289,5316,5335,5368,5409,5435,5455,5464,5475,5487
6,"Actividades de consultoria, científicas, técnicas e similares",3434,3588,3887,3956,4044,4180,4256,4498,4600,4808,4878,4916,4966,5001,5037,5087,5119,5173,5249,5296,5324,5340,5377,5401
8,"Actividades artísticas, de espectáculos, desportivas e recreativas",3562,3685,3877,3938,3994,4074,4131,4229,4250,4327,4356,4374,4396,4415,4424,4439,4455,4489,4527,4543,4557,4574,4579,4590
10,Construção,2499,2613,2827,2898,2957,3081,3169,3315,3376,3536,3601,3635,3666,3696,3713,3750,3780,3832,3886,3921,3931,3954,3969,3985
12,Actividades administrativas e dos serviços de apoio,2658,2771,2961,3005,3043,3127,3175,3290,3332,3419,3468,3487,3509,3524,3542,3572,3595,3627,3664,3689,3703,3713,3734,3745
14,Educação,2175,2237,2347,2381,2422,2477,2497,2564,2588,2632,2652,2667,2672,2680,2684,2689,2701,2715,2725,2732,2740,2748,2759,2764
17,Actividades imobiliárias,1746,1825,1967,1999,2041,2112,2142,2235,2263,2331,2360,2370,2387,2400,2409,2422,2434,2467,2487,2511,2517,2520,2534,2538
19,Actividades de informação e de comunicação ,922,959,1054,1075,1095,1133,1162,1225,1247,1287,1301,1311,1321,1331,1342,1354,1364,1379,1403,1421,1428,1432,1438,1442
0,"Agricultura, produção animal, caça, floresta e pesca",581,614,660,675,687,712,728,755,764,798,808,812,818,824,827,833,839,848,860,864,865,871,875,879
11,Actividades financeiras e de seguros,219,226,245,251,253,262,271,295,307,332,341,344,346,349,350,355,357,363,369,380,381,384,383,383
18,"Captação, tratamento e distribuição de água; saneamento, gestão de resíduos e despoluição",165,174,195,197,203,210,212,218,222,226,228,230,231,233,233,236,237,241,244,246,246,247,251,252
3,Indústrias extractivas,42,45,47,47,47,51,51,53,54,55,56,57,59,59,59,63,63,63,63,64,64,64,64,64
7,Administração pública e defesa; segurança social obrigatória,24,25,30,32,32,33,35,36,38,39,41,42,43,45,45,46,46,46,47,47,47,47,47,47
13,"Electricidade, gás, vapor, água quente e fria e ar frio",26,26,29,31,32,32,32,32,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35
9,Actividades das famílias empregadoras de pessoal doméstico e actividades de produção das  famílias para uso próprio + Actividades dos organismos internacionais e outras instituições extra-territoriais,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
