,TOTAL,2020-04-17,2020-04-20,2020-04-23,2020-04-24,2020-04-27,2020-04-29,2020-04-30,2020-05-04,2020-05-05,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-19,2020-05-21,2020-05-27,2020-06-03,2020-06-09,2020-06-16,2020-06-23,2020-07-01,2020-07-08
0,LISBOA,19322,20166,21623,22120,22586,23264,23638,24595,24872,25537,25851,25996,26158,26267,26368,26552,26705,26898,27189,27345,27425,27505,27613,27683
1,PORTO,15921,16601,17688,17962,18243,18676,18918,19587,19810,20265,20453,20550,20656,20752,20818,20971,21077,21262,21453,21577,21644,21698,21766,21798
2,BRAGA,8097,8406,8967,9095,9272,9490,9605,9878,10017,10273,10352,10406,10455,10498,10542,10619,10656,10735,10822,10884,10908,10932,10950,10969
3,AVEIRO,5109,5324,5775,5892,6014,6223,6339,6629,6726,6907,6997,7039,7072,7107,7137,7192,7224,7292,7378,7424,7461,7496,7541,7561
4,FARO,5314,5499,5873,6019,6124,6290,6392,6567,6638,6778,6826,6843,6882,6921,6940,6977,6999,7064,7111,7136,7142,7146,7179,7189
5,SETÚBAL,4657,4843,5225,5318,5401,5577,5657,5827,5889,6017,6097,6127,6154,6183,6203,6241,6294,6342,6400,6426,6443,6452,6496,6508
6,LEIRIA,3827,3981,4283,4360,4429,4578,4640,4788,4845,4976,5028,5063,5076,5093,5106,5125,5151,5189,5243,5265,5282,5285,5300,5303
7,COIMBRA,2850,2979,3192,3237,3290,3384,3438,3533,3571,3660,3709,3722,3741,3756,3762,3786,3792,3824,3854,3874,3885,3896,3901,3904
8,SANTARÉM,2599,2695,2882,2948,3013,3106,3156,3252,3287,3376,3403,3418,3435,3453,3461,3494,3509,3525,3549,3577,3590,3592,3597,3601
9,R.A.MADEIRA,2528,2596,2765,2802,2840,2908,2960,3020,3042,3097,3124,3131,3138,3155,3161,3175,3184,3205,3216,3231,3235,3239,3256,3275
10,VISEU,2280,2369,2543,2594,2639,2714,2752,2842,2871,2970,3005,3020,3039,3049,3063,3084,3088,3107,3127,3143,3150,3156,3159,3162
11,VIANA DO CASTELO,1928,2022,2148,2178,2222,2274,2310,2373,2390,2464,2480,2494,2514,2524,2530,2541,2548,2566,2583,2593,2599,2604,2607,2607
12,R.A.AÇORES,1464,1555,1694,1718,1758,1823,1854,1903,1918,1985,2001,2009,2016,2022,2026,2029,2039,2060,2072,2076,2075,2081,2085,2089
13,VILA REAL,1440,1492,1611,1635,1668,1715,1746,1797,1822,1872,1880,1898,1907,1912,1922,1937,1943,1958,1969,1979,1981,1981,1987,1993
14,CASTELO BRANCO,1141,1186,1252,1284,1304,1331,1345,1371,1387,1424,1435,1444,1448,1454,1464,1475,1478,1490,1499,1502,1506,1507,1509,1507
15,GUARDA,1054,1078,1145,1166,1184,1211,1223,1261,1274,1300,1314,1318,1322,1326,1335,1346,1356,1370,1376,1384,1385,1388,1391,1388
16,ÉVORA,1021,1059,1118,1133,1168,1190,1202,1244,1262,1289,1296,1300,1309,1315,1316,1325,1336,1346,1356,1362,1363,1363,1360,1359
17,BRAGANÇA,941,978,1040,1050,1067,1096,1107,1132,1142,1178,1190,1195,1197,1199,1202,1206,1212,1220,1238,1243,1243,1244,1253,1255
18,BEJA,724,757,805,823,848,863,878,916,928,944,955,962,973,978,980,990,996,1000,1004,1005,1007,1009,1013,1014
19,PORTALEGRE,564,586,614,628,656,669,676,698,706,714,722,723,727,731,735,739,740,742,748,750,749,749,751,753
20,DESCONHECIDO/A,26,29,31,31,31,34,37,38,38,41,41,41,42,42,43,43,44,45,45,45,46,46,46,45
