Nº DE BAIXAS POR ISOLAMENTO ,Unnamed: 1,Unnamed: 2,Unnamed: 3
por data de entrada,,,
,,,
Nota: Situação da base de dados 22/07/2020,,,
,,,
,Nº Prestações Requeridas,,
,por dia,Acumulados,
01/mar,8,8,
02/mar,86,94,
03/mar,111,205,
04/mar,113,318,
05/mar,100,418,
06/mar,102,520,
07/mar,35,555,
08/mar,28,583,
09/mar,170,753,
10/mar,167,920,
11/mar,259,1179,
12/mar,262,1441,
13/mar,344,1785,
14/mar,133,1918,
15/mar,60,1978,
16/mar,371,2349,
17/mar,465,2814,
18/mar,3506,6320,
19/mar,996,7316,
20/mar,1838,9154,
21/mar,592,9746,
22/mar,1909,11655,
23/mar,3354,15009,
24/mar,2010,17019,
25/mar,1783,18802,
26/mar,2583,21385,
27/mar,1678,23063,
28/mar,603,23666,
29/mar,219,23885,
30/mar,2410,26295,
31/mar,2465,28760,
01/abr,1932,30692,
02/abr,1266,31958,
03/abr,4500,36458,
04/abr,1646,38104,
05/abr,258,38362,
06/abr,2102,40464,
07/abr,2193,42657,
08/abr,2024,44681,
09/abr,1456,46137,
10/abr,607,46744,
11/abr,209,46953,
12/abr,101,47054,
13/abr,1262,48316,
14/abr,2143,50459,
15/abr,2270,52729,
16/abr,1363,54092,
17/abr,1334,55426,
18/abr,394,55820,
19/abr,95,55915,
20/abr,1710,57625,
21/abr,1571,59196,
22/abr,1667,60863,
23/abr,905,61768,
24/abr,1304,63072,
25/abr,460,63532,
26/abr,187,63719,
27/abr,1138,64857,
28/abr,1621,66478,
29/abr,1248,67726,
30/abr,1637,69363,
01/mai,261,69624,
02/mai,259,69883,
03/mai,129,70012,
04/mai,1242,71254,
05/mai,1193,72447,
06/mai,1254,73701,
07/mai,854,74555,
08/mai,1208,75763,
09/mai,134,75897,
10/mai,218,76115,
11/mai,1196,77311,
12/mai,1373,78684,
13/mai,697,79381,
14/mai,562,79943,
15/mai,709,80652,
16/mai,63,80715,
17/mai,27,80742,
18/mai,495,81237,
19/mai,447,81684,
20/mai,478,82162,
21/mai,421,82583,
22/mai,1009,83592,
23/mai,35,83627,
24/mai,17,83644,
25/mai,1739,85383,
26/mai,3622,89005,
27/mai,542,89547,
28/mai,993,90540,
29/mai,16756,107296,
30/mai,37,107333,
31/mai,42,107375,
01/jun,16705,124080,
02/jun,643,124723,
03/jun,775,125498,
04/jun,512,126010,
05/jun,606,126616,
06/jun,40,126656,
07/jun,86,126742,
08/jun,622,127364,
09/jun,663,128027,
10/jun,99,128126,
11/jun,56,128182,
12/jun,612,128794,
13/jun,69,128863,
14/jun,19,128882,
15/jun,396,129278,
16/jun,610,129888,
17/jun,500,130388,
18/jun,471,130859,
19/jun,397,131256,
20/jun,129,131385,
21/jun,15,131400,
22/jun,518,131918,
23/jun,608,132526,
24/jun,481,133007,
25/jun,584,133591,
26/jun,476,134067,
27/jun,84,134151,
28/jun,11,134162,
29/jun,459,134621,
30/jun,454,135075,
01/jul,769,135844,
02/jul,677,136521,
03/jul,593,137114,
04/jul,44,137158,
05/jul,19,137177,
06/jul,702,137879,
07/jul,525,138404,
08/jul,548,138952,
09/jul,669,139621,
10/jul,449,140070,
11/jul,106,140176,
12/jul,12,140188,
13/jul,590,140778,
14/jul,666,141444,
15/jul,428,141872,
16/jul,296,142168,
17/jul,296,142464,
18/jul,19,142483,
19/jul,5,142488,
20/jul,220,142708,
21/jul,265,142973,
,,,
,,,
,,,
Nº DE BAIXAS POR ISOLAMENTO ,,,
prestações entradas por distrito,,,
,,,
TOTAL,,142973,
AVEIRO,,69822,
BEJA,,573,
BRAGA,,8252,
BRAGANÇA,,572,
CASTELO BRANCO,,529,
COIMBRA,,1928,
ÉVORA,,564,
FARO,,2196,
GUARDA,,486,
LEIRIA,,3195,
LISBOA,,12875,
PORTALEGRE,,339,
PORTO,,26664,
SANTARÉM,,2515,
SETÚBAL,,3783,
VIANA DO CASTELO,,1484,
VILA REAL,,464,
VISEU,,1477,
REGIÃO AUTÓNOMA DOS AÇORES,,2613,
REGIÃO AUTÓNOMA DA MADEIRA,,2642,
,,,
,,,
,,,
LANÇAMENTOS DE BAIXAS POR ISOLAMENTO,,,
por mês de lançamento e sexo,,,
,,,
,TOTAL,FEMININO,MASCULINO
202003,120,94,26
202004,28423,13544,14879
202005,28692,15378,13314
202006,25650,12043,13607
202007,12505,7306,5199
TOTAL (distinto),70858,37665,33193
