PRESTAÇÕES REQUERIDAS DE DESEMPREGO ENTRADAS DESDE 20200301,Unnamed: 1,Unnamed: 2
,,
por data de início,,
,,
Nota: Situação da base de dados 22/07/2020,,
,,
,ENTRADAS,
,2020,
,Dia,Acumulado
2020-03-01 00:00:00,282,282
2020-03-02 00:00:00,2608,2890
2020-03-03 00:00:00,1442,4332
2020-03-04 00:00:00,1161,5493
2020-03-05 00:00:00,1209,6702
2020-03-06 00:00:00,1178,7880
2020-03-07 00:00:00,130,8010
2020-03-08 00:00:00,103,8113
2020-03-09 00:00:00,1388,9501
2020-03-10 00:00:00,1083,10584
2020-03-11 00:00:00,974,11558
2020-03-12 00:00:00,941,12499
2020-03-13 00:00:00,1034,13533
2020-03-14 00:00:00,141,13674
2020-03-15 00:00:00,90,13764
2020-03-16 00:00:00,1746,15510
2020-03-17 00:00:00,1925,17435
2020-03-18 00:00:00,2376,19811
2020-03-19 00:00:00,2555,22366
2020-03-20 00:00:00,2579,24945
2020-03-21 00:00:00,306,25251
2020-03-22 00:00:00,157,25408
2020-03-23 00:00:00,3287,28695
2020-03-24 00:00:00,2922,31617
2020-03-25 00:00:00,3019,34636
2020-03-26 00:00:00,2744,37380
2020-03-27 00:00:00,2782,40162
2020-03-28 00:00:00,330,40492
2020-03-29 00:00:00,157,40649
2020-03-30 00:00:00,2758,43407
2020-03-31 00:00:00,1884,45291
2020-04-01 00:00:00,6617,51908
2020-04-02 00:00:00,4166,56074
2020-04-03 00:00:00,3654,59728
2020-04-04 00:00:00,532,60260
2020-04-05 00:00:00,272,60532
2020-04-06 00:00:00,4151,64683
2020-04-07 00:00:00,3398,68081
2020-04-08 00:00:00,3291,71372
2020-04-09 00:00:00,2196,73568
2020-04-10 00:00:00,560,74128
2020-04-11 00:00:00,251,74379
2020-04-12 00:00:00,154,74533
2020-04-13 00:00:00,2024,76557
2020-04-14 00:00:00,2990,79547
2020-04-15 00:00:00,2659,82206
2020-04-16 00:00:00,2714,84920
2020-04-17 00:00:00,2421,87341
2020-04-18 00:00:00,388,87729
2020-04-19 00:00:00,217,87946
2020-04-20 00:00:00,2698,90644
2020-04-21 00:00:00,2146,92790
2020-04-22 00:00:00,2001,94791
2020-04-23 00:00:00,1706,96497
2020-04-24 00:00:00,1440,97937
2020-04-25 00:00:00,275,98212
2020-04-26 00:00:00,186,98398
2020-04-27 00:00:00,2036,100434
2020-04-28 00:00:00,1442,101876
2020-04-29 00:00:00,1390,103266
2020-04-30 00:00:00,1013,104279
2020-05-01 00:00:00,1067,105346
2020-05-02 00:00:00,357,105703
2020-05-03 00:00:00,233,105936
2020-05-04 00:00:00,3930,109866
2020-05-05 00:00:00,2379,112245
2020-05-06 00:00:00,2178,114423
2020-05-07 00:00:00,2123,116546
2020-05-08 00:00:00,1827,118373
2020-05-09 00:00:00,241,118614
2020-05-10 00:00:00,160,118774
2020-05-11 00:00:00,2109,120883
2020-05-12 00:00:00,1733,122616
2020-05-13 00:00:00,1615,124231
2020-05-14 00:00:00,1381,125612
2020-05-15 00:00:00,1370,126982
2020-05-16 00:00:00,211,127193
2020-05-17 00:00:00,160,127353
2020-05-18 00:00:00,1728,129081
2020-05-19 00:00:00,1383,130464
2020-05-20 00:00:00,1331,131795
2020-05-21 00:00:00,1107,132902
2020-05-22 00:00:00,1080,133982
2020-05-23 00:00:00,129,134111
2020-05-24 00:00:00,109,134220
2020-05-25 00:00:00,1357,135577
2020-05-26 00:00:00,1066,136643
2020-05-27 00:00:00,1036,137679
2020-05-28 00:00:00,937,138616
2020-05-29 00:00:00,711,139327
2020-05-30 00:00:00,94,139421
2020-05-31 00:00:00,74,139495
2020-06-01 00:00:00,2621,142116
2020-06-02 00:00:00,1647,143763
2020-06-03 00:00:00,1561,145324
2020-06-04 00:00:00,1491,146815
2020-06-05 00:00:00,1549,148364
2020-06-06 00:00:00,210,148574
2020-06-07 00:00:00,152,148726
2020-06-08 00:00:00,1685,150411
2020-06-09 00:00:00,1338,151749
2020-06-10 00:00:00,359,152108
2020-06-11 00:00:00,168,152276
2020-06-12 00:00:00,1724,154000
2020-06-13 00:00:00,125,154125
2020-06-14 00:00:00,126,154251
2020-06-15 00:00:00,1426,155677
2020-06-16 00:00:00,1355,157032
2020-06-17 00:00:00,1247,158279
2020-06-18 00:00:00,1122,159401
2020-06-19 00:00:00,916,160317
2020-06-20 00:00:00,327,160644
2020-06-21 00:00:00,104,160748
2020-06-22 00:00:00,1954,162702
2020-06-23 00:00:00,1152,163854
2020-06-24 00:00:00,876,164730
2020-06-25 00:00:00,880,165610
2020-06-26 00:00:00,826,166436
2020-06-27 00:00:00,156,166592
2020-06-28 00:00:00,85,166677
2020-06-29 00:00:00,1066,167743
2020-06-30 00:00:00,791,168534
2020-07-01 00:00:00,3030,171564
2020-07-02 00:00:00,1781,173345
2019-07-03 00:00:00,1471,174816
2019-07-04 00:00:00,161,174977
2019-07-05 00:00:00,120,175097
2019-07-06 00:00:00,1526,176623
2019-07-07 00:00:00,1352,177975
2019-07-08 00:00:00,1114,179089
2019-07-09 00:00:00,1080,180169
2019-07-10 00:00:00,899,181068
2019-07-11 00:00:00,93,181161
2019-07-12 00:00:00,55,181216
2019-07-13 00:00:00,988,182204
2019-07-14 00:00:00,919,183123
2019-07-15 00:00:00,821,183944
2019-07-16 00:00:00,794,184738
2019-07-17 00:00:00,679,185417
2019-07-18 00:00:00,75,185492
2019-07-19 00:00:00,57,185549
2019-07-20 00:00:00,786,186335
2019-07-21 00:00:00,396,186731
2019-07-22 00:00:00,19,186750
,,
,,
PRESTAÇÕES REQUERIDAS DE DESEMPREGO ENTRADAS DESDE 20200301,,
por cdss,,
,,
TOTAL,,186750
AVEIRO,,12748
BEJA,,2940
BRAGA,,14659
BRAGANÇA,,1075
CASTELO BRANCO,,2249
COIMBRA,,6324
ÉVORA,,2858
FARO,,14494
GUARDA,,1261
LEIRIA,,8075
LISBOA,,39185
PORTALEGRE,,2037
PORTO,,36163
SANTARÉM,,7300
SETÚBAL,,18296
VIANA CASTELO,,4998
VILA REAL,,1694
VISEU,,5015
R.A.AÇORES,,2673
R.A.MADEIRA,,2706
