NÚMERO DE PEDIDOS DAS MEDIDAS DE APOIO EXTRAORDINÁRIO À REDUÇÃO DA ATIVIDADE ECONÓMICA DE:,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
TRABALHADOR INDEPENDENTE (COVI_RED_TI),,,,,,,,,,,,,,
TRABALHADOR INDEPENDENTE - PRORROGAÇÃO (COVI_PRO_RED_TI),,,,,,,,,,,,,,
MEMBRO DE ORGAO ESTATUTÁRIO (COVI_RED_MOE),,,,,,,,,,,,,,
MEMBRO DE ORGAO ESTATUTÁRIO - PRORROGAÇÃO (COVI_RED_MOE),,,,,,,,,,,,,,
por data de registo do pedido e tipo pedido,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Situação da base de dados 22/07/2020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,COVI_RED_TI,,COVI_RED_TI Total,COVI_PRO_RED_TI,,COVI_PRO_RED_TI Total,COVI_RED_MOE,,COVI_RED_MOE Total,COVI_PRO_RED_MOE,,COVI_PRO_RED_MOE Total
,,,Paragem Total,Redução de Actividade,Total,Paragem Total,Redução de Actividade,Total,Paragem Total,Redução de Actividade,Total,Paragem Total,Redução de Actividade,Total
,Total - Refª a Março,,160163,,160163,,,,,,,,,
,01/abr,,64088,,64088,,,,,,,,,
,02/abr,,22496,,22496,,,,,,,,,
,03/abr,,12398,,12398,,,,,,,,,
,04/abr,,3558,,3558,,,,,,,,,
,05/abr,,2459,,2459,,,,,,,,,
,06/abr,,11731,,11731,,,,,,,,,
,07/abr,,8516,,8516,,,,,,,,,
,08/abr,,6161,,6161,,,,,,,,,
,09/abr,,6018,,6018,,,,,,,,,
,10/abr,,1937,,1937,,,,,,,,,
,11/abr,,1053,,1053,,,,,,,,,
,12/abr,,645,,645,,,,,,,,,
,13/abr,,4216,,4216,,,,,,,,,
,14/abr,,7388,,7388,,,,,,,,,
,15/abr,,7497,,7497,,,,,,,,,
,16/abr,,2,,2,,,,,,,,,
,Total - Refª a Abril,,20765,7246,28011,112565,,112565,8528,4784,13312,,,
,20/abr,,3977,929,4906,6215,,6215,825,329,1154,,,
,21/abr,,2484,676,3160,8804,,8804,1206,498,1704,,,
,22/abr,,2204,556,2760,11417,,11417,986,504,1490,,,
,23/abr,,1700,521,2221,13188,,13188,916,457,1373,,,
,24/abr,,1247,392,1639,9406,,9406,647,349,996,,,
,25/abr,,306,115,421,2399,,2399,104,59,163,,,
,26/abr,,286,90,376,1942,,1942,77,34,111,,,
,27/abr,,1400,553,1953,11268,,11268,824,464,1288,,,
,28/abr,,1694,639,2333,13926,,13926,788,511,1299,,,
,29/abr,,1770,795,2565,12638,,12638,845,542,1387,,,
,30/abr,,2243,1268,3511,11642,,11642,807,682,1489,,,
,01/mai,,346,125,471,2333,,2333,59,42,101,,,
,02/mai,,155,68,223,1125,,1125,24,34,58,,,
,03/mai,,106,69,175,682,,682,30,18,48,,,
,04/mai,,847,450,1297,5580,,5580,390,261,651,,,
,Total - Refª a Maio,,5006,3559,8565,81860,28837,110697,4829,5662,10491,5714,4091,9805
,30/mai,,337,203,540,12072,2794,14866,151,195,346,474,289,763
,31/mai,,430,252,682,7286,2010,9296,202,173,375,327,220,547
,01/jun,,1008,655,1663,17830,5513,23343,1132,1117,2249,1678,1082,2760
,02/jun,,541,422,963,9325,3415,12740,572,745,1317,718,559,1277
,03/jun,,398,301,699,5957,2499,8456,437,519,956,489,387,876
,04/jun,,368,234,602,6570,2161,8731,429,510,939,473,286,759
,05/jun,,410,355,765,5310,2370,7680,428,499,927,361,284,645
,2020-06-06 00:00:00,,87,71,158,1261,497,1758,57,80,137,65,40,105
,2020-06-07 00:00:00,,87,47,134,1271,455,1726,43,67,110,64,54,118
,2020-06-08 00:00:00,,531,360,891,7165,2963,10128,585,655,1240,497,383,880
,2020-06-09 00:00:00,,809,659,1468,7813,4160,11973,793,1102,1895,568,507,1075
,Total - Refª a Junho,,1316,944,2260,39962,27461,67423,469,836,1305,3859,6053,9912
,20/jun,,62,32,94,3676,975,4651,6,5,11,125,93,218
,21/jun,,32,33,65,2277,680,2957,5,10,15,81,99,180
,22/jun,,146,79,225,5347,2505,7852,39,67,106,469,595,1064
,2020-06-23 00:00:00,,134,60,194,4163,2214,6377,53,80,133,392,536,928
,2020-06-24 00:00:00,,92,60,152,2848,1777,4625,37,58,95,316,436,752
,2020-06-25 00:00:00,,201,138,339,5578,3469,9047,52,93,145,496,708,1204
,2020-06-26 00:00:00,,122,126,248,3054,2850,5904,49,81,130,382,613,995
,2020-06-27 00:00:00,,36,32,68,1180,873,2053,8,11,19,119,170,289
,2020-06-28 00:00:00,,34,30,64,996,679,1675,11,7,18,76,120,196
,2020-06-29 00:00:00,,190,133,323,4792,4775,9567,79,163,242,567,1000,1567
,2020-06-30 00:00:00,,267,221,488,6051,6664,12715,130,261,391,836,1683,2519
,Total - Refª a Julho,,756,535,1291,13110,7084,20194,112,192,304,763,1228,1991
,20/jul,,486,292,778,8430,4216,12646,60,110,170,437,685,1122
,21/jul,,263,232,495,4538,2801,7339,52,82,134,316,536,852
,2020-07-22 00:00:00,,7,11,18,142,67,209,0,0,0,10,7,17
,TOTAL,,188006,12284,200290,,,,13938,11474,25412,,,
