,Setor,2020-04-17,2020-04-20,2020-04-23,2020-04-24,2020-04-27,2020-04-29,2020-04-30,2020-05-04,2020-05-05,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-19,2020-05-21,2020-05-27,2020-06-03,2020-06-09,2020-06-16,2020-06-23,2020-07-01,2020-07-08,2020-07-16,2020-07-23
14,"Agricultura, produção animal, caça, floresta e pesca",581.0,614.0,660.0,675.0,687.0,712.0,728.0,755.0,764.0,798.0,808.0,812.0,818.0,824.0,827.0,833.0,839.0,848.0,860.0,864.0,865.0,871.0,875.0,879.0,882,885
3,Actividades de saúde humana e apoio social,6328.0,6534.0,6870.0,6962.0,7063.0,7180.0,7258.0,7428.0,7490.0,7602.0,7647.0,7674.0,7703.0,7727.0,7741.0,7767.0,7789.0,7831.0,7867.0,7922.0,7935.0,7947.0,7963.0,7969.0,7973,7987
4,Transportes e armazenagem,4137.0,4357.0,4734.0,4859.0,5001.0,5203.0,5322.0,5612.0,5680.0,5903.0,5986.0,6041.0,6084.0,6121.0,6153.0,6231.0,6288.0,6362.0,6458.0,6519.0,6560.0,6591.0,6633.0,6662.0,6678,6686
17,Indústrias extractivas,42.0,45.0,47.0,47.0,47.0,51.0,51.0,53.0,54.0,55.0,56.0,57.0,59.0,59.0,59.0,63.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,64,64
5,Outras actividades de serviços,4266.0,4433.0,4714.0,4776.0,4857.0,4975.0,5047.0,5182.0,5233.0,5331.0,5382.0,5397.0,5419.0,5439.0,5449.0,5475.0,5500.0,5535.0,5574.0,5601.0,5613.0,5624.0,5639.0,5651.0,5658,5664
6,PESSOAS SINGULARES COM TRABALHADORES A CARGO ,4017.0,4182.0,4467.0,4568.0,4652.0,4777.0,4852.0,5003.0,5058.0,5169.0,5212.0,5230.0,5256.0,5279.0,5289.0,5316.0,5335.0,5368.0,5409.0,5435.0,5455.0,5464.0,5475.0,5487.0,5494,5500
7,"Actividades de consultoria, científicas, técnicas e similares",3434.0,3588.0,3887.0,3956.0,4044.0,4180.0,4256.0,4498.0,4600.0,4808.0,4878.0,4916.0,4966.0,5001.0,5037.0,5087.0,5119.0,5173.0,5249.0,5296.0,5324.0,5340.0,5377.0,5401.0,5416,5424
18,Administração pública e defesa; segurança social obrigatória,24.0,25.0,30.0,32.0,32.0,33.0,35.0,36.0,38.0,39.0,41.0,42.0,43.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47,47
8,"Actividades artísticas, de espectáculos, desportivas e recreativas",3562.0,3685.0,3877.0,3938.0,3994.0,4074.0,4131.0,4229.0,4250.0,4327.0,4356.0,4374.0,4396.0,4415.0,4424.0,4439.0,4455.0,4489.0,4527.0,4543.0,4557.0,4574.0,4579.0,4590.0,4594,4601
20,Actividades das famílias empregadoras de pessoal doméstico e actividades de produção das  famílias para uso próprio + Actividades dos organismos internacionais e outras instituições extra-territoriais,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4
9,Construção,2499.0,2613.0,2827.0,2898.0,2957.0,3081.0,3169.0,3315.0,3376.0,3536.0,3601.0,3635.0,3666.0,3696.0,3713.0,3750.0,3780.0,3832.0,3886.0,3921.0,3931.0,3954.0,3969.0,3985.0,3993,3996
15,Actividades financeiras e de seguros,219.0,226.0,245.0,251.0,253.0,262.0,271.0,295.0,307.0,332.0,341.0,344.0,346.0,349.0,350.0,355.0,357.0,363.0,369.0,380.0,381.0,384.0,383.0,383.0,383,385
10,Actividades administrativas e dos serviços de apoio,2658.0,2771.0,2961.0,3005.0,3043.0,3127.0,3175.0,3290.0,3332.0,3419.0,3468.0,3487.0,3509.0,3524.0,3542.0,3572.0,3595.0,3627.0,3664.0,3689.0,3703.0,3713.0,3734.0,3745.0,3750,3756
19,"Electricidade, gás, vapor, água quente e fria e ar frio",26.0,26.0,29.0,31.0,32.0,32.0,32.0,32.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35,35
11,Educação,2175.0,2237.0,2347.0,2381.0,2422.0,2477.0,2497.0,2564.0,2588.0,2632.0,2652.0,2667.0,2672.0,2680.0,2684.0,2689.0,2701.0,2715.0,2725.0,2732.0,2740.0,2748.0,2759.0,2764.0,2768,2770
0,"Alojamento, restauração e similares",20554.0,21156.0,22301.0,22664.0,22965.0,23399.0,23624.0,24091.0,24221.0,24544.0,24704.0,24772.0,24848.0,24917.0,24962.0,25055.0,25124.0,25244.0,25371.0,25455.0,25494.0,25538.0,25605.0,25667.0,25702,25731
1,Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,17330.0,18227.0,19816.0,20248.0,20711.0,21423.0,21767.0,22605.0,22918.0,23596.0,23863.0,23996.0,24124.0,24233.0,24332.0,24533.0,24658.0,24881.0,25108.0,25223.0,25293.0,25343.0,25424.0,25476.0,25498,25527
