,Setor,2020-04-17,2020-04-20,2020-04-23,2020-04-24,2020-04-27,2020-04-29,2020-04-30,2020-05-04,2020-05-05,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-19,2020-05-21,2020-05-27,2020-06-03,2020-06-09,2020-06-16,2020-06-23,2020-07-01,2020-07-08,2020-07-16,2020-07-23
4,Actividades de saúde humana e apoio social,70938.0,75602.0,80920.0,82671.0,84392.0,85851.0,86961.0,89062.0,89504.0,90971.0,91343.0,91693.0,91816.0,92126.0,92542.0,92842.0,93392.0,93878.0,94573.0,95543.0,95651.0,95926.0,96005.0,96052,96066,96211
14,"Agricultura, produção animal, caça, floresta e pesca",5252.0,5521.0,5824.0,5913.0,5964.0,6068.0,6126.0,6323.0,6351.0,6566.0,6603.0,6608.0,6628.0,6688.0,6697.0,6724.0,6923.0,6947.0,7007.0,7016.0,7019.0,7035.0,7046.0,7080,7179,7185
5,Transportes e armazenagem,56195.0,57252.0,60642.0,61409.0,61779.0,62452.0,63109.0,64232.0,64507.0,65578.0,65874.0,66084.0,66238.0,66443.0,66615.0,66973.0,67158.0,67450.0,67764.0,67987.0,68085.0,68152.0,68342.0,68446,68502,68519
19,"Electricidade, gás, vapor, água quente e fria e ar frio",564.0,564.0,571.0,579.0,580.0,580.0,580.0,580.0,636.0,636.0,636.0,644.0,644.0,644.0,644.0,644.0,644.0,644.0,644.0,644.0,644.0,644.0,644.0,644,644,644
6,Construção,39280.0,40560.0,43216.0,44928.0,45515.0,46482.0,47162.0,49007.0,50060.0,51331.0,51777.0,51980.0,52210.0,52376.0,52440.0,52701.0,52834.0,53263.0,53608.0,53956.0,53981.0,54088.0,54220.0,54322,54417,54533
15,Actividades financeiras e de seguros,3387.0,3433.0,3966.0,3979.0,3982.0,4094.0,4154.0,4300.0,4348.0,4547.0,5083.0,5095.0,5100.0,5110.0,5112.0,5131.0,5187.0,5195.0,5225.0,5253.0,5255.0,5268.0,5267.0,5267,5267,5272
7,"Actividades de consultoria, científicas, técnicas e similares",30729.0,31791.0,33727.0,34046.0,34368.0,35066.0,35357.0,44949.0,45725.0,46926.0,48133.0,48454.0,48646.0,48958.0,49095.0,49337.0,49514.0,49805.0,50219.0,50446.0,50538.0,50600.0,50813.0,50998,51067,51108
16,"Captação, tratamento e distribuição de água; saneamento, gestão de resíduos e despoluição",1371.0,1525.0,1620.0,1623.0,1638.0,1711.0,1715.0,3601.0,3806.0,3817.0,3826.0,3837.0,3856.0,3944.0,3944.0,3955.0,3957.0,3963.0,3988.0,4016.0,4016.0,4019.0,4036.0,4037,4037,4037
8,Educação,25496.0,27337.0,29184.0,29654.0,30203.0,31974.0,32248.0,33228.0,33659.0,34177.0,34314.0,34443.0,34456.0,34482.0,34568.0,34600.0,34687.0,34770.0,34876.0,34905.0,34995.0,35070.0,35128.0,35139,35147,35151
9,Outras actividades de serviços,26635.0,27287.0,29039.0,29504.0,29977.0,30561.0,31357.0,32191.0,32490.0,32923.0,33080.0,33151.0,33253.0,33382.0,33359.0,33439.0,33553.0,33674.0,33955.0,34074.0,34131.0,34160.0,34273.0,34307,34320,34338
